ID011384-01	CC(=O)NCCNC1=C2C=C(C=CC2=NC=N1)C3=C(C)C=CC=C3	-.4868	-.2017	-.7494	-.2063	-1.727	-1.858	.2395	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011398-01	O=C(OC1=CC=CC=C1)N2CCC3(CCCN(C3)C4=CC=CC=N4)CC2	-1.739	-.6155	-.5202	-.1063	1.111	.008014	1.767	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011412-01	CC1=NC2=C(N=C(N=C2)N3CCNCC3)N(CCC#N)C1=O	-1.225	2.374	-.05841	1.519	.5457	.9592	2.148	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011423-01	COC1=CC=C(NC(=O)N2CC[C@]3(C2)CCCN(C3)C(=O)C4=CSN=N4)C=C1	.1541	.8044	-.6234	-.1508	.3815	.2023	.351	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011441-01	CC1=NC=C(CNC2=NC=NC3=CC=C(C=C23)C4=C(Cl)C=CC=C4)N=C1	-.4775	.4629	.02908	-.4683	-2.594	-1.096	3.317	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011460-01	O=C(OC1=CC=CC=C1)N2CCC[C@@]3(CCN(C3)C(C4=CC=CC=C4)C5=CC=CC=C5)C2	-1.844	-1.084	.2665	-1.789	-1.282	-2.04	.4151	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011484-01	CC1=C(C(C)=NO1)C2=CC(NC3=CC=CC=C3)=NC=N2	-.2197	-.491	-.1374	-.6589	1.925	2.188	-2.425	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011514-01	FC1=CC(=CC(F)=C1)C2=NC3=C(N=C(OCC4=CC=CC=C4)N=C3)N(CCC#N)C2=O	-.7695	1.727	-.3229	1.35	-.2701	.2922	.8868	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011519-01	O=C(N1CCC[C@@]2(CCN(C2)C3=CC(=CC=C3)C4=CC=CC=C4)C1)C5=CSN=N5	-2.506	-1.06	-.4571	-.3968	.8995	-.7234	-1.287	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011526-01	COCCN1C(=O)C=NC2=C1N=C(N=C2)N(C)C	-1.656	.6228	-.5804	-.5565	-.03714	1.878	3.545	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011556-01	COC1=C(C=CC=C1)C2=CC=C3N=CN=C(NC4CCNCC4)C3=C2	-.6985	-.2832	-2.624	5.125	4.414	.5769	-4.595	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011567-01	CN(C)C1=NC2=C(C=N1)N=C(C)C(=O)N2C3=CC=CC=C3	-2.621	-2.782	.3288	-1.127	-.2543	3.962	1.538	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011576-01	COCC(=O)N1CCC2(CN(C2)C3=CC=CC=N3)CC1	1.527	-.6551	.242	4.432	.9536	2.031	-.8739	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011592-01	COC1=C(CN2CC[C@]3(C2)CCCN(C3)C(=O)C4=C(C)ON=C4C)C=CC=C1	-.7773	1.746	.7826	.7456	2.081	-.7858	.7465	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011597-01	CN1C=CC=C1C(=O)N2CCC3(CCN(CC3)C(=O)NC4=CC=CC=C4)CC2	-1.153	.9428	-.9215	-.9655	1.631	-.1708	-1.035	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011600-01	COC1=CC=C(C=C1)C(=O)N2CCC3(CCCN(CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)C3)CC2	1.655	.9408	-.4055	-2.012	.2072	-.06065	5.809	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
